"","District","room_id","host_id","room_type","reviews","overall_satisfaction","price","minstay","latitude","longitude","rate"
"240","Allston/Brighton",13782612,41259192,"Private room",4,4.5,52,1,42.352161,-71.129382,10.6537594837127
"241","Allston/Brighton",9127796,31283811,"Shared room",3,4.5,50,1,42.352739,-71.124664,10.6537594837127
"242","Allston/Brighton",2729015,8130814,"Entire home/apt",1,4,85,3,42.353492,-71.162557,10.6537594837127
"243","Allston/Brighton",7308811,9634183,"Entire home/apt",2,4.5,100,3,42.344722,-71.142495,10.6537594837127
"244","Allston/Brighton",11489203,44083241,"Shared room",1,5,10,1,42.352625,-71.153588,10.6537594837127
"245","Allston/Brighton",8378257,12996682,"Private room",5,4.8,84,1,42.351269,-71.148883,10.6537594837127
"246","Allston/Brighton",14251839,26956083,"Private room",7,4.5,74,2,42.361413,-71.12587,10.6537594837127
"247","Allston/Brighton",3181719,7640908,"Private room",41,5,115,2,42.348575,-71.158718,10.6537594837127
"248","Allston/Brighton",15057426,63218173,"Private room",14,4,69,1,42.358261,-71.137361,10.6537594837127
"249","Allston/Brighton",7476671,24158689,"Private room",8,4.5,65,2,42.350577,-71.163939,10.6537594837127
"250","Allston/Brighton",5967594,26956083,"Private room",10,4.5,200,2,42.360189,-71.127182,10.6537594837127
"251","Allston/Brighton",5858133,3483194,"Private room",1,5,120,1,42.362309,-71.134942,10.6537594837127
